Huawei_ASI4518R14v06
690 MHz, 960 MHz
-14,28
-14,05
-13,82
-13,58
-13,345
-13,11
-12,865
-12,62
-12,37
-12,12
-11,87
-11,615
-11,39
-11,17
-10,945
-10,73
-10,51
-10,295
-10,075
-9,855
-9,63
-9,405
-9,18
-8,95
-8,725
-8,49
-8,28
-8,1
-7,915
-7,73
-7,54
-7,355
-7,17
-6,98
-6,785
-6,595
-6,405
-6,205
-6,015
-5,82
-5,645
-5,475
-5,29
-5,095
-4,885
-4,675
-4,515
-4,36
-4,2
-4,045
-3,885
-3,73
-3,575
-3,385
-3,19
-3
-2,86
-2,72
-2,575
-2,435
-2,29
-2,14
-1,995
-1,84
-1,69
-1,535
-1,44
-1,335
-1,225
-1,11
-0,995
-0,875
-0,76
-0,65
-0,545
-0,455
-0,375
-0,305
-0,24
-0,18
-0,14
-0,105
-0,065
-0,04
-0,02
-0,005
Elevation
-0,04
-0,09
-0,24
-0,62
-1,07
-1,73
-2,42
-3,47
-4,53
-5,74
-7,44
-9,13
-11,59
-15,46
-19,38
-25,54
-23,5
-21,47
-19,44
-18,36
-17,54
-17,51
-17,48
-17,94
-18,41
-19,35
-20,1
-20,86
-21,68
-22,49
-23,31
-22,36
-21,4
-19,91
-18,33
-16,75
-15,99
-15,25
-14,75
-14,82
-14,89
-15,53
-16,17
-16,81
-17,45
-18,26
-19,08
-19,9
-20,72
-22,75
-24,22
-25,99
-25,79
-25,59
-25,4
-25,2
-25
-24,81
-25,51
-27,3
-27,54
-27,79
-28,03
-28,28
-28,52
-28,76
-29,01
-29,25
-28,52
-27,79
-27,07
-26,37
-25,68
-24,99
-23,99
-22,98
-21,98
-20,21
-19,83
-19,81
-19,8
-20,17
-20,53
-20,9
-22,05
-23,2
-25,83
-27,26
-28,68
-28,99
-29,3
-29,62
-29,75
-29,88
-30,02
-30,02
-30,02
-30,02
-30,02
-30,02
-30,02
-30,02
-30,02
-30,02
-30,02
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,03
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,04
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,05
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,06
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,07
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,08
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,09
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,1
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,11
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,12
-30,13
-30,13
-30,13
-30,13
-30,09
-30,06
-30,02
-29,99
-29,95
-29,92
-29,91
-29,9
-29,89
-29,88
-29,87
-29,86
-29,85
-29,84
-29,83
-29,82
-29,81
-29,8
-29,79
-29,78
-29,77
-29,76
-29,74
-29,72
-29,69
-29,66
-29,63
-29,6
-29,57
-29,54
-29,51
-29,48
-29,46
-29,43
-25,57
-21,73
-20,94
-20,15
-19,36
-19,4
-19,44
-19,48
-19,05
-18,63
-18,39
-18,15
-18,45
-18,74
-19,47
-20,25
-21,02
-22,28
-23,53
-24,79
-25,48
-26,17
-26,86
-27,55
-28,25
-27,13
-26,02
-24,91
-23,8
-21,46
-19,82
-18,94
-19,01
-19,07
-19,79
-20,73
-21,67
-23,48
-25,29
-27,1
-27,69
-28,28
-28,87
-28,44
-28,01
-27,58
-27,14
-26,71
-26,28
-22,24
-18,98
-15,06
-12,25
-10,25
-8,27
-6,77
-5,71
-4,64
-3,55
-2,44
-1,71
-0,97
-0,55
-0,12
-0,06
0
1427 MHz, 2200 MHz
Azimut
0
-0,015
-0,025
-0,045
-0,065
-0,085
-0,1
-0,11
-0,115
-0,125
-0,15
-0,175
-0,2
-0,27
-0,335
-0,405
-0,48
-0,585
-0,69
-0,825
-0,96
-1,095
-1,23
-1,365
-1,56
-1,76
-1,96
-2,155
-2,35
-2,545
-2,73
-2,925
-3,115
-3,305
-3,505
-3,705
-3,91
-4,1
-4,285
-4,47
-4,655
-4,84
-5,005
-5,18
-5,35
-5,51
-5,68
-5,84
-6,01
-6,175
-6,34
-6,51
-6,67
-6,83
-7,015
-7,195
-7,38
-7,56
-7,74
-7,97
-8,215
-8,46
-8,705
-8,96
-9,205
-9,45
-9,73
-10,015
-10,35
-10,685
-11,02
-11,36
-11,65
-11,95
-12,245
-12,54
-12,835
-13,145
-13,45
-13,76
-14,08
-14,395
-14,715
-15,03
-15,345
-15,655
-15,97
-16,275
-16,59
-16,9
-17,215
-17,525
-17,84
-18,155
-18,47
-18,8
-19,2
-19,605
-20,005
-20,4
-20,8
-21,2
-21,615
-22,065
-22,52
-22,975
-23,33
-23,68
-23,985
-24,29
-24,605
-24,91
-25,215
-25,525
-25,83
-26,14
-26,41
-26,755
-27,1
-27,445
-27,675
-27,905
-28,13
-28,33
-28,53
-28,73
-28,935
-29,06
-29,08
-29,095
-29,11
-29,125
-29,14
-29,16
-29,175
-29,195
-29,21
-29,23
-29,245
-29,265
-29,28
-29,29
-29,31
-29,325
-29,345
-29,36
-29,38
-29,395
-29,415
-29,43
-29,45
-29,465
-29,475
-29,495
-29,51
-29,53
-29,545
-29,565
-29,58
-29,6
-29,6
-29,6
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,6
-29,6
-29,6
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,6
-29,6
-29,6
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,6
-29,6
-29,6
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,595
-29,6
-29,6
-29,6
-29,58
-29,565
-29,545
-29,53
-29,51
-29,495
-29,475
-29,465
-29,45
-29,43
-29,415
-29,395
-29,38
-29,36
-29,345
-29,325
-29,31
-29,29
-29,28
-29,265
-29,245
-29,23
-29,21
-29,195
-29,175
-29,16
-29,14
-29,125
-29,11
-29,095
-29,08
-29,06
-28,935
-28,73
-28,53
-28,33
-28,13
-27,905
-27,675
-27,445
-27,1
-26,755
-26,41
-26,14
-25,83
-25,525
-25,215
-24,91
-24,605
-24,29
-23,985
-23,68
-23,33
-22,975
-22,52
-22,065
-21,615
-21,2
-20,8
-20,4
-20,005
-19,605
-19,2
-18,8
-18,47
-18,155
-17,84
-17,525
-17,215
-16,9
-16,59
-16,275
-15,97
-15,655
-15,345
-15,03
-14,715
-14,395
-14,08
-13,76
-13,45
-13,145
-12,835
-12,54
-12,245
-11,95
-11,65
-11,36
-11,02
-10,685
-10,35
-10,015
-9,73
-9,45
-9,205
-8,96
-8,705
-8,46
-8,215
-7,97
-7,74
-7,56
-7,38
-7,195
-7,015
-6,83
-6,67
-6,51
-6,34
-6,175
-6,01
-5,84
-5,68
-5,51
-5,35
-5,18
-5,005
-4,84
-4,655
-4,47
-4,285
-4,1
-3,91
-3,705
-3,505
-3,305
-3,115
-2,925
-2,73
-2,545
-2,35
-2,155
-1,96
-1,76
-1,56
-1,365
-1,23
-1,095
-0,96
-0,825
-0,69
-0,585
-0,48
-0,405
-0,335
-0,27
-0,2
-0,175
-0,15
-0,125
-0,115
-0,11
-0,1
-0,085
-0,065
-0,045
-0,025
-0,015
Elevation
0
-0,14
-0,4
-1,37
-3,23
-5,72
-7,77
-11,66
-18,54
-22,56
-15,71
-12,74
-11,96
-12,21
-13,54
-15,92
-19,37
-23,6
-27,82
-25,25
-21,26
-20,9
-21,01
-23,68
-25,09
-26,97
-27,37
-27,76
-28,03
-28,29
-28,55
-27,84
-27,13
-26,43
-25,72
-25,01
-24,3
-23,59
-22,88
-22,17
-20,59
-19,59
-18,46
-17,32
-16,87
-16,42
-16,09
-16,01
-16,24
-16,61
-17,32
-18,18
-19,04
-19,9
-20,76
-22,06
-24,07
-25,27
-25,69
-26,12
-27,26
-28,41
-28,62
-28,83
-29,12
-29,21
-29,31
-29,4
-29,5
-29,59
-29,68
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,86
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,85
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,84
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,83
-29,82
-29,82
-29,82
-29,82
-29,82
-29,82
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,81
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,8
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,79
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,77
-29,77
-29,77
-29,76
-29,75
-29,74
-29,73
-29,73
-29,72
-29,71
-29,7
-29,69
-29,68
-29,67
-29,66
-29,65
-29,5
-29,48
-29,45
-29,33
-29,21
-29,09
-28,96
-28,84
-26,55
-25,73
-24,9
-24,08
-23,98
-23,88
-23,78
-23,79
-23,81
-23,83
-23,85
-23,54
-23,35
-23,15
-23,11
-23,07
-23,03
-23,23
-23,43
-24,03
-24,49
-24,95
-26,37
-27,34
-27,61
-27,88
-28,14
-28,34
-28,53
-28,73
-28,69
-28,64
-28,6
-28,56
-28,52
-28,48
-28,43
-28,35
-28,26
-28,18
-24,71
-23,12
-22,77
-22,42
-22,72
-23,97
-24,5
-27,66
-27,19
-26,72
-25,93
-25,25
-24,24
-24,6
-24,96
-25,33
-25,69
-26,06
-22,64
-21,36
-21,22
-21,08
-21,53
-22,52
-23,52
-24,51
-25,51
-26,5
-25,79
-25,09
-24,38
-23,33
-22,28
-18,01
-14,93
-11,71
-8,53
-6,1
-3,64
-1,99
-1,08
-0,16
2490 MHz, 2690 MHz
Azimut
0
-0,125
-0,14
-0,165
-0,18
-0,195
-0,215
-0,24
-0,265
-0,295
-0,315
-0,34
-0,365
-0,415
-0,47
-0,52
-0,57
-0,65
-0,73
-0,815
-0,895
-0,98
-1,095
-1,21
-1,335
-1,45
-1,57
-1,69
-1,81
-1,955
-2,1
-2,265
-2,435
-2,6
-2,785
-3,025
-3,265
-3,5
-3,74
-3,975
-4,22
-4,465
-4,705
-4,945
-5,185
-5,425
-5,66
-5,905
-6,145
-6,385
-6,62
-6,86
-7,1
-7,335
-7,575
-7,83
-8,085
-8,375
-8,67
-8,96
-9,25
-9,525
-9,795
-10,07
-10,34
-10,605
-10,87
-11,15
-11,43
-11,715
-11,995
-12,26
-12,525
-12,79
-13,055
-13,39
-13,725
-14,09
-14,445
-14,8
-15,16
-15,52
-15,95
-16,385
-16,82
-17,225
-17,63
-18,035
-18,44
-18,845
-19,25
-19,65
-20,06
-20,435
-20,81
-21,145
-21,47
-21,795
-22,125
-22,485
-22,84
-23,195
-23,89
-24,58
-25,09
-25,595
-26,105
-26,605
-27,11
-27,615
-28,255
-28,365
-28,475
-28,585
-28,69
-28,8
-28,91
-29,025
-29,18
-29,34
-29,36
-29,38
-29,395
-29,415
-29,435
-29,455
-29,475
-29,48
-29,485
-29,495
-29,5
-29,5
-29,51
-29,515
-29,52
-29,53
-29,535
-29,54
-29,55
-29,555
-29,56
-29,57
-29,575
-29,58
-29,59
-29,59
-29,595
-29,605
-29,61
-29,615
-29,625
-29,63
-29,635
-29,645
-29,65
-29,655
-29,665
-29,67
-29,675
-29,68
-29,685
-29,695
-29,7
-29,705
-29,715
-29,72
-29,725
-29,735
-29,74
-29,745
-29,755
-29,755
-29,76
-29,77
-29,775
-29,78
-29,79
-29,795
-29,8
-29,81
-29,81
-29,81
-29,8
-29,795
-29,79
-29,78
-29,775
-29,77
-29,76
-29,755
-29,755
-29,745
-29,74
-29,735
-29,725
-29,72
-29,715
-29,705
-29,7
-29,695
-29,685
-29,68
-29,675
-29,67
-29,665
-29,655
-29,65
-29,645
-29,635
-29,63
-29,625
-29,615
-29,61
-29,605
-29,595
-29,59
-29,59
-29,58
-29,575
-29,57
-29,56
-29,555
-29,55
-29,54
-29,535
-29,53
-29,52
-29,515
-29,51
-29,5
-29,5
-29,495
-29,485
-29,48
-29,475
-29,455
-29,435
-29,415
-29,395
-29,38
-29,36
-29,34
-29,18
-29,025
-28,91
-28,8
-28,69
-28,585
-28,475
-28,365
-28,255
-27,615
-27,11
-26,605
-26,105
-25,595
-25,09
-24,58
-23,89
-23,195
-22,84
-22,485
-22,125
-21,795
-21,47
-21,145
-20,81
-20,435
-20,06
-19,65
-19,25
-18,845
-18,44
-18,035
-17,63
-17,225
-16,82
-16,385
-15,95
-15,52
-15,16
-14,8
-14,445
-14,09
-13,725
-13,39
-13,055
-12,79
-12,525
-12,26
-11,995
-11,715
-11,43
-11,15
-10,87
-10,605
-10,34
-10,07
-9,795
-9,525
-9,25
-8,96
-8,67
-8,375
-8,085
-7,83
-7,575
-7,335
-7,1
-6,86
-6,62
-6,385
-6,145
-5,905
-5,66
-5,425
-5,185
-4,945
-4,705
-4,465
-4,22
-3,975
-3,74
-3,5
-3,265
-3,025
-2,785
-2,6
-2,435
-2,265
-2,1
-1,955
-1,81
-1,69
-1,57
-1,45
-1,335
-1,21
-1,095
-0,98
-0,895
-0,815
-0,73
-0,65
-0,57
-0,52
-0,47
-0,415
-0,365
-0,34
-0,315
-0,295
-0,265
-0,24
-0,215
-0,195
-0,18
-0,165
-0,14
-0,125
Elevation
0
-0,08
-0,69
-2,92
-5,02
-7,75
-15,76
-19,8
-26,03
-23,21
-20,38
-18,6
-16,82
-14,21
-12,78
-11,36
-11,56
-11,76
-13,03
-14,31
-15,21
-16,12
-17,03
-18,56
-20,1
-23,02
-25,17
-27,32
-24,88
-22,44
-20
-14,2
-13,27
-12,35
-11,44
-11,84
-12,24
-13,66
-15,34
-17,03
-18,73
-21,24
-23,76
-24,64
-25,51
-26,39
-26,75
-27,11
-27,47
-27,82
-28,18
-28,54
-28,9
-27,83
-26,77
-25,71
-24,64
-23,58
-22,62
-21,67
-21,4
-21,13
-21,4
-21,68
-21,96
-22,24
-22,68
-23,13
-23,58
-24,03
-24,48
-24,94
-25,39
-25,84
-26,44
-27,04
-27,64
-28,06
-28,49
-28,57
-28,65
-28,74
-28,82
-28,91
-28,99
-29,08
-29,16
-29,19
-29,22
-29,26
-29,29
-29,32
-29,35
-29,38
-29,41
-29,45
-29,48
-29,51
-29,54
-29,57
-29,6
-29,63
-29,67
-29,7
-29,7
-29,7
-29,7
-29,7
-29,7
-29,71
-29,71
-29,71
-29,71
-29,71
-29,71
-29,71
-29,72
-29,72
-29,72
-29,72
-29,72
-29,72
-29,72
-29,72
-29,73
-29,73
-29,73
-29,73
-29,73
-29,73
-29,73
-29,74
-29,74
-29,74
-29,74
-29,74
-29,74
-29,74
-29,74
-29,75
-29,75
-29,75
-29,75
-29,75
-29,75
-29,75
-29,76
-29,76
-29,77
-29,77
-29,77
-29,78
-29,78
-29,78
-29,79
-29,79
-29,8
-29,8
-29,8
-29,81
-29,81
-29,82
-29,82
-29,82
-29,83
-29,83
-29,83
-29,84
-29,84
-29,85
-29,85
-29,85
-29,86
-29,86
-29,87
-29,87
-29,87
-29,88
-29,88
-29,88
-29,89
-29,89
-29,9
-29,9
-29,9
-29,91
-29,91
-29,91
-29,92
-29,92
-29,93
-29,93
-29,93
-29,94
-29,94
-29,95
-29,95
-29,95
-29,96
-29,96
-29,96
-29,97
-29,97
-29,98
-29,98
-29,98
-29,97
-29,97
-29,96
-29,96
-29,95
-29,95
-29,94
-29,94
-29,93
-29,93
-29,92
-29,92
-29,91
-29,91
-29,9
-29,9
-29,89
-29,89
-29,89
-29,88
-29,88
-29,87
-29,87
-29,86
-29,86
-29,85
-29,85
-29,84
-29,84
-29,83
-29,83
-29,82
-29,82
-29,81
-29,81
-29,81
-29,78
-29,76
-29,74
-29,72
-29,7
-29,68
-29,66
-29,64
-29,61
-29,59
-29,57
-29,55
-29,53
-29,51
-29,49
-29,47
-29,45
-29,42
-29,4
-29,38
-29,36
-29,34
-29,32
-29,07
-28,83
-28,58
-28,33
-28,08
-27,67
-27,25
-26,83
-26,41
-24,44
-24,35
-24,25
-24,15
-24,06
-24,54
-25,03
-25,52
-26
-26,49
-26,77
-27,05
-27,32
-27,6
-27,88
-28,16
-28,44
-28,71
-28,99
-28,3
-27,62
-26,93
-26,24
-25,56
-24,87
-24,18
-23,5
-22,81
-19,86
-19,13
-18,41
-18,77
-19,13
-19,49
-21,81
-24,05
-25,23
-26,42
-26,65
-26,89
-27,13
-27,37
-27,61
-27,84
-28,08
-28,32
-28,56
-28,8
-26,91
-25,03
-23,14
-19,66
-16,2
-15,61
-15,03
-16,44
-17,87
-19,3
-20,67
-22,04
-23,45
-24,86
-23,29
-23,68
-24,07
-24,47
-24,86
-25,25
-25,64
-26,03
-22,66
-19,89
-18,64
-17,78
-19,12
-20,46
-21,81
-23,91
-26,01
-23,63
-17,73
-12,03
-6,57
-3,05
-1,58
-0,22
